DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
tosho_1880_rikei,829292_R0000020.json,829292,https://dl.ndl.go.jp/info:ndljp/pid/829292,新編塵算書,初編,,,森田周次郎 著,秘籌堂,明13,1880,,,419,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829571_R0000006.json,829571,https://dl.ndl.go.jp/info:ndljp/pid/829571,珠算乗除法 : 手数半減,,,,湯浅為太郎 著,麟祥軒,明19.11,1886,,28丁 ; 19cm,419.9,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829571_R0000009.json,829571,https://dl.ndl.go.jp/info:ndljp/pid/829571,珠算乗除法 : 手数半減,,,,湯浅為太郎 著,麟祥軒,明19.11,1886,,28丁 ; 19cm,419.9,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829737_R0000025.json,829737,https://dl.ndl.go.jp/info:ndljp/pid/829737,小学珠算教授書,下巻,,,青木清治郎 編||中川直賢 閲,室直三郎,明18.9,1885,,,419.9,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827368_R0000025.json,827368,https://dl.ndl.go.jp/info:ndljp/pid/827368,女子日用筆算問題,下,,,村垣素行 編,太田武之助,明20.9,1887,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829775_R0000012.json,829775,https://dl.ndl.go.jp/info:ndljp/pid/829775,小学珠算指南,第４巻,,訂2版,羽田貞義 編||塩谷吟策 訂,青雲堂,明20.8,1887,,,419.9,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827368_R0000002.json,827368,https://dl.ndl.go.jp/info:ndljp/pid/827368,女子日用筆算問題,下,,,村垣素行 編,太田武之助,明20.9,1887,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,834851_R0000048.json,834851,https://dl.ndl.go.jp/info:ndljp/pid/834851,内科医範,明治18年,,,"菅之芳, 中浜東一郎 編",菅之芳[ほか],"明17,18",1885,,,493,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,849117_R0000014.json,849117,https://dl.ndl.go.jp/info:ndljp/pid/849117,豆腐百珍 : 手軽料理,,,,淮南狂道人 編,鹿田静七[ほか],明22.10,1889,,18p ; 19cm,596,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,830969_R0000266.json,830969,https://dl.ndl.go.jp/info:ndljp/pid/830969,容量分析,上,,,薩東 著||平賀義美 訳,文部省編輯局,明18,1885,,,430,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,831275_R0000161.json,831275,https://dl.ndl.go.jp/info:ndljp/pid/831275,地学浅釈,,,,"雷侠児 著||瑪高温 口訳||華?芳 筆||乙骨太郎乙, 保田久成 点",丸屋善七等,明14.2,1881,,892p ; 19cm,450,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,831275_R0000386.json,831275,https://dl.ndl.go.jp/info:ndljp/pid/831275,地学浅釈,,,,"雷侠児 著||瑪高温 口訳||華?芳 筆||乙骨太郎乙, 保田久成 点",丸屋善七等,明14.2,1881,,892p ; 19cm,450,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,832386_R0000047.json,832386,https://dl.ndl.go.jp/info:ndljp/pid/832386,桜 : 日本の桜・東京の花,,,,依田孝 (芦の舎主人) 著,天野書舗,明22.5,1889,,102p ; 19cm,470,,,,,インターネット公開（保護期間満了）
